label	C1	C2	H2
X392b	24.072	22.249	0.625
X393	24.834	25.413	0.876
X393b	25.413	24.834	1.069
X394	13.747	25.413	0.876
X394b	25.413	13.747	0.503
X395	24.913	25.413	0.876
X395b	25.413	24.913	0.632
X396	24.407	25.413	0.876
X396b	25.413	24.407	0.715
X397	19.992	25.413	0.876
X397b	25.413	19.992	0.651
X398	13.747	24.834	1.069
X398b	24.834	13.747	0.503
X399	24.913	24.834	1.069
X399b	24.834	24.913	0.632
X400	24.407	24.834	1.069
X400b	24.834	24.407	0.715
X401	22.5	25.156	0.804
X401b	25.156	22.5	0.699
X402	9.49	25.156	0.804
X402b	25.156	9.49	0.378
X403	9.49	22.5	0.699
X403b	22.5	9.49	0.378
X404	24.407	13.747	0.503
X404b	13.747	24.407	0.715
X405	19.992	13.747	0.503
X405b	13.747	19.992	0.651
X406	22.279	13.747	0.503
X406b	13.747	22.279	0.898
X407	21.02	13.747	0.503
X407b	13.747	21.02	0.924
X408	20.492	13.747	0.503
X408b	13.747	20.492	0.261
X409	24.407	24.913	0.632
X409b	24.913	24.407	0.715
X410	12.365	24.913	0.632
X410b	24.913	12.365	0.664
X411	11.691	24.913	0.632
X411b	24.913	11.691	0.901
X412	19.992	24.913	0.632
X412b	24.913	19.992	0.651
X413	21.191	24.913	0.632
X413b	24.913	21.191	0.648
X414	12.365	24.407	0.715
X414b	24.407	12.365	0.664
X415	11.691	24.407	0.715
X415b	24.407	11.691	0.901
X416	19.992	24.407	0.715
X416b	24.407	19.992	0.651
X417	21.191	24.407	0.715
X417b	24.407	21.191	0.648
X418	11.691	12.365	0.664
X418b	12.365	11.691	0.901
X419	21.191	12.365	0.664
X419b	12.365	21.191	0.648
X420	21.191	11.691	0.901
X420b	11.691	21.191	0.648
X421	21.191	19.992	0.651
X421b	19.992	21.191	0.648
X422	11.138	19.992	0.651
X422b	19.992	11.138	0.651
X423	22.279	19.992	0.651
X423b	19.992	22.279	0.898
X424	21.02	19.992	0.651
X424b	19.992	21.02	0.924
X425	20.492	19.992	0.651
X425b	19.992	20.492	0.261
X426	11.138	21.191	0.648
X426b	21.191	11.138	0.651
X427	22.279	21.191	0.648
X427b	21.191	22.279	0.898
X428	22.279	11.138	0.651
X428b	11.138	22.279	0.898
X429	21.02	11.138	0.651
X429b	11.138	21.02	0.924
X430	21.02	22.279	0.898
X430b	22.279	21.02	0.924
X431	25.237	22.279	0.898
X431b	22.279	25.237	0.781
X432	20.492	22.279	0.898
X432b	22.279	20.492	0.261
X433	21.491	21.02	0.924
X433b	21.02	21.491	0.25
X434	25.237	21.02	0.924
X434b	21.02	25.237	0.781
X435	20.492	21.02	0.924
X435b	21.02	20.492	0.261
X436	22.383	13.602	0.655
X436b	13.602	22.383	0.72
X437	20.605	13.602	0.655
X437b	13.602	20.605	0.437
X438	22.419	26.885	0.876
X438b	26.885	22.419	0.655
X439	25.478	26.885	0.876
X439b	26.885	25.478	0.93
X440	24.044	26.885	0.876
X440b	26.885	24.044	0.778
X441	25.213	26.885	0.876
X441b	26.885	25.213	0.818
X442	22.086	26.885	0.876
X442b	26.885	22.086	0.633
X443	14.606	26.885	0.876
X443b	26.885	14.606	0.875
X444	25.478	22.419	0.655
X444b	22.419	25.478	0.93
X445	24.044	22.419	0.655
X445b	22.419	24.044	0.778
X446	25.213	22.419	0.655
X446b	22.419	25.213	0.818
X447	22.086	22.419	0.655
X447b	22.419	22.086	0.633
X448	14.606	22.419	0.655
