label	C1	C2	H2	intensity
X175b	26.534	18.891	0.687	2.8701e-03
X176	24.923	26.534	0.593	7.4170e-04
X176b	26.534	24.923	1.134	7.4170e-04
X177	17.974	26.534	0.593	6.4690e-03
X177b	26.534	17.974	0.916	6.4690e-03
X178	17.697	19.382	0.230	8.2042e-01
X178b	19.382	17.697	-0.834	8.2042e-01
X179	21.619	19.382	0.230	3.2297e-03
X179b	19.382	21.619	0.737	3.2297e-03
X180	18.891	19.382	0.230	1.4877e-03
X180b	19.382	18.891	0.687	1.4877e-03
X181	13.602	19.382	0.230	8.3934e-03
X181b	19.382	13.602	0.655	8.3934e-03
X182	21.619	17.697	-0.834	1.1055e-03
X182b	17.697	21.619	0.737	1.1055e-03
X183	13.602	17.697	-0.834	2.8312e-02
X183b	17.697	13.602	0.655	2.8312e-02
X184	17.974	17.697	-0.834	1.1914e-03
X184b	17.697	17.974	0.916	1.1914e-03
X185	18.891	21.619	0.737	9.6332e-01
X185b	21.619	18.891	0.687	9.6332e-01
X186	26.885	21.619	0.737	2.3996e-03
X186b	21.619	26.885	0.876	2.3996e-03
X187	22.419	21.619	0.737	3.9717e-02
X187b	21.619	22.419	0.655	3.9717e-02
X188	25.478	21.619	0.737	1.7606e-03
X188b	21.619	25.478	0.930	1.7606e-03
X189	22.086	21.619	0.737	1.4355e-03
X189b	21.619	22.086	0.633	1.4355e-03
X190	22.419	18.891	0.687	3.6486e-03
X190b	18.891	22.419	0.655	3.6486e-03
X191	24.322	24.941	0.572	7.8151e-01
X191b	24.941	24.322	0.607	7.8151e-01
X192	25.478	24.941	0.572	7.3613e-04
X192b	24.941	25.478	0.930	7.3613e-04
X193	24.044	24.941	0.572	3.5788e-03
X193b	24.941	24.044	0.778	2.1262e-03
X194	23.575	24.941	0.572	4.4922e-03
X194b	24.941	23.575	1.052	4.4922e-03
X195	25.239	24.941	0.572	2.3732e-02
X195b	24.941	25.239	0.821	2.3732e-02
X196	25.130	24.941	0.572	8.9031e-04
X196b	24.941	25.130	0.938	8.9031e-04
X197	24.015	24.941	0.572	3.5788e-03
X197b	24.941	24.015	0.807	3.5788e-03
X198	25.478	24.322	0.607	2.4559e-03
X198b	24.322	25.478	0.930	2.4559e-03
X199	24.044	24.322	0.607	8.0401e-02
X199b	24.322	24.044	0.778	1.8034e-02
X200	23.575	24.322	0.607	3.5758e-03
X200b	24.322	23.575	1.052	3.5758e-03
X201	25.239	24.322	0.607	2.9387e-02
X201b	24.322	25.239	0.821	2.9387e-02
X202	25.130	24.322	0.607	8.1017e-03
X202b	24.322	25.130	0.938	8.1017e-03
X203	24.015	24.322	0.607	8.0401e-02
X203b	24.322	24.015	0.807	8.0401e-02
X204	26.304	23.192	0.768	6.1016e-01
X204b	23.192	26.304	0.748	6.1016e-01
X205	27.936	23.192	0.768	3.8222e-02
X205b	23.192	27.936	0.456	3.8222e-02
X206	21.862	23.192	0.768	1.6152e-02
X206b	23.192	21.862	-0.448	1.6152e-02
X207	13.610	23.192	0.768	1.2212e-03
X207b	23.192	13.610	0.262	1.2212e-03
X208	21.207	23.192	0.768	1.0040e-03
X208b	23.192	21.207	0.848	1.0040e-03
X209	22.279	23.192	0.768	1.0128e-02
X209b	23.192	22.279	1.178	2.2266e-03
X210	25.567	23.192	0.768	6.0516e-03
X210b	23.192	25.567	1.376	6.0516e-03
X211	19.992	23.192	0.768	2.0547e-03
X211b	23.192	19.992	0.651	2.0547e-03
X212	22.279	23.192	0.768	1.0128e-02
X212b	23.192	22.279	0.898	1.0128e-02
X213	21.020	23.192	0.768	1.2809e-02
X213b	23.192	21.020	0.924	1.2809e-02
X214	25.180	23.192	0.768	2.7800e-03
X214b	23.192	25.180	0.572	2.7800e-03
X215	21.491	23.192	0.768	5.2704e-02
X215b	23.192	21.491	0.250	5.2704e-02
X216	25.237	23.192	0.768	4.5367e-02
X216b	23.192	25.237	0.781	4.5367e-02
X217	20.492	23.192	0.768	4.1020e-02
X217b	23.192	20.492	0.261	4.1020e-02
X218	27.936	26.304	0.748	2.3084e-02
X218b	26.304	27.936	0.456	2.3084e-02
X219	21.862	26.304	0.748	3.6574e-03
X219b	26.304	21.862	-0.448	3.6574e-03
X220	21.207	26.304	0.748	3.8133e-03
X220b	26.304	21.207	0.848	1.0640e-03
X221	22.279	26.304	0.748	3.0056e-02
X221b	26.304	22.279	1.178	3.0056e-02
X222	25.567	26.304	0.748	4.1646e-02
X222b	26.304	25.567	1.376	4.1646e-02
X223	23.827	26.304	0.748	1.0308e-03
X223b	26.304	23.827	0.842	1.0308e-03
X224	13.747	26.304	0.748	1.3017e-03
X224b	26.304	13.747	0.503	1.3017e-03
X225	19.992	26.304	0.748	1.7986e-02
X225b	26.304	19.992	0.651	1.7986e-02
X226	21.191	26.304	0.748	3.8133e-03
X226b	26.304	21.191	0.648	3.8133e-03
X227	22.279	26.304	0.748	3.0056e-02
X227b	26.304	22.279	0.898	2.5315e-02
X228	21.020	26.304	0.748	6.8175e-03
X228b	26.304	21.020	0.924	6.8175e-03
X229	21.491	26.304	0.748	2.9299e-03
X229b	26.304	21.491	0.250	2.9299e-03
X230	25.237	26.304	0.748	1.6270e-02
X230b	26.304	25.237	0.781	1.6270e-02
X231	20.492	26.304	0.748	4.1833e-02
X231b	26.304	20.492	0.261	4.1833e-02
X232	21.862	27.936	0.456	7.6385e-01
X232b	27.936	21.862	-0.448	7.6385e-01
X233	13.610	27.936	0.456	2.4442e-03
X233b	27.936	13.610	0.262	2.4442e-03
X234	11.341	27.936	0.456	3.0950e-03
X234b	27.936	11.341	0.390	3.0950e-03
X235	21.207	27.936	0.456	2.5884e-02
X235b	27.936	21.207	0.848	2.5884e-02
X236	22.805	27.936	0.456	6.6177e-03
X236b	27.936	22.805	0.924	6.6177e-03
X237	14.215	27.936	0.456	7.6062e-04
X237b	27.936	14.215	0.831	7.6062e-04
X238	22.279	27.936	0.456	4.4999e-03
X238b	27.936	22.279	1.178	4.4999e-03
X239	25.567	27.936	0.456	8.0034e-02
X239b	27.936	25.567	1.376	8.0034e-02
X240	25.180	27.936	0.456	1.3439e-03
X240b	27.936	25.180	0.572	1.3439e-03
X241	21.491	27.936	0.456	9.0645e-03
X241b	27.936	21.491	0.250	9.0645e-03
X242	25.237	27.936	0.456	4.5737e-03
X242b	27.936	25.237	0.781	4.5737e-03
X243	20.492	27.936	0.456	1.5692e-03
X243b	27.936	20.492	0.261	1.5692e-03
X244	13.610	21.862	-0.448	3.7807e-02
X244b	21.862	13.610	0.262	3.7807e-02
X245	11.341	21.862	-0.448	4.9296e-03
X245b	21.862	11.341	0.390	4.9296e-03
X246	21.207	21.862	-0.448	4.0056e-03
X246b	21.862	21.207	0.848	4.0056e-03
X247	22.805	21.862	-0.448	3.3223e-03
X247b	21.862	22.805	0.924	3.3223e-03
X248	25.567	21.862	-0.448	3.5771e-03
X248b	21.862	25.567	1.376	3.5771e-03
X249	25.180	21.862	-0.448	9.8313e-03
X249b	21.862	25.180	0.572	9.8313e-03
X250	21.491	21.862	-0.448	6.8219e-02
X250b	21.862	21.491	0.250	6.8219e-02
X251	25.237	21.862	-0.448	6.2374e-03
X251b	21.862	25.237	0.781	6.2374e-03
X252	20.492	21.862	-0.448	1.1548e-03
X252b	21.862	20.492	0.261	1.1548e-03
X253	11.341	13.610	0.262	1.0947e-03
X253b	13.610	11.341	0.390	1.0947e-03
X254	25.180	13.610	0.262	4.9983e-02
X254b	13.610	25.180	0.572	4.9983e-02
X255	21.491	13.610	0.262	3.3335e-02
X255b	13.610	21.491	0.250	3.3335e-02
X256	25.237	13.610	0.262	3.4994e-03
X256b	13.610	25.237	0.781	3.4994e-03
X257	21.207	11.341	0.390	2.0863e-03
X257b	11.341	21.207	0.848	2.0863e-03
X258	22.805	11.341	0.390	8.8403e-03
X258b	11.341	22.805	0.924	8.8403e-03
X259	22.805	21.207	0.848	6.5534e-01
X259b	21.207	22.805	0.924	6.5534e-01
X260	14.215	21.207	0.848	2.4644e-02
X260b	21.207	14.215	0.831	2.4644e-02
X261	22.279	21.207	0.848	1.7225e-03
X261b	21.207	22.279	1.178	4.8495e-02
X262	25.567	21.207	0.848	1.7948e-02
X262b	21.207	25.567	1.376	1.7948e-02
X263	12.276	21.207	0.848	1.6190e-03
