label	C1	C2	H2	intensity
X223b	23.182	27.750	0.830	3.2164e-03
X224	22.798	23.182	0.723	1.5651e-03
X224b	23.182	22.798	0.951	2.8631e-04
X225	23.376	26.142	0.974	9.7713e-01
X225b	26.142	23.376	0.940	9.7713e-01
X226	25.227	25.540	0.816	2.0927e-02
X226b	25.540	25.227	0.843	2.0927e-02
X227	24.822	25.540	0.816	1.8202e-02
X227b	25.540	24.822	0.912	1.8202e-02
X228	24.822	25.227	0.843	9.7159e-01
X228b	25.227	24.822	0.912	9.7159e-01
X229	10.179	25.227	0.843	5.9736e-03
X229b	25.227	10.179	0.680	5.9736e-03
X230	13.783	25.227	0.843	2.8982e-02
X230b	25.227	13.783	0.642	2.8982e-02
X231	10.179	24.822	0.912	4.2906e-03
X231b	24.822	10.179	0.680	4.2906e-03
X232	13.783	24.822	0.912	1.7997e-02
X232b	24.822	13.783	0.642	1.5739e-02
X233	13.783	10.179	0.680	7.1421e-02
X233b	10.179	13.783	0.642	4.0709e-02
X234	22.798	10.179	0.680	1.4073e-03
X234b	10.179	22.798	0.951	3.1737e-05
X235	13.582	13.783	0.642	1.5109e-03
X235b	13.783	13.582	0.719	1.5109e-03
X236	24.128	13.783	0.642	1.9425e-03
X236b	13.783	24.128	0.986	1.9425e-03
X237	22.798	13.783	0.642	2.8228e-03
X237b	13.783	22.798	0.951	1.1991e-04
X238	22.705	21.164	0.981	9.7696e-01
X238b	21.164	22.705	1.140	9.7696e-01
X239	13.582	21.164	0.981	3.9473e-03
X239b	21.164	13.582	0.719	3.9473e-03
X240	25.107	21.164	0.981	2.7358e-03
X240b	21.164	25.107	0.863	2.7358e-03
X241	13.582	22.705	1.140	1.6119e-03
X241b	22.705	13.582	0.719	1.6119e-03
X242	25.107	22.705	1.140	4.4553e-03
X242b	22.705	25.107	0.863	4.4553e-03
X243	24.128	13.582	0.719	2.0143e-03
X243b	13.582	24.128	0.986	2.0143e-03
X244	27.074	13.582	0.719	2.6114e-03
X244b	13.582	27.074	0.771	2.6114e-03
X245	24.128	22.679	0.881	9.4802e-01
X245b	22.679	24.128	0.986	9.4802e-01
X246	25.107	22.679	0.881	2.4136e-03
X246b	22.679	25.107	0.863	4.4553e-03
X247	23.217	22.679	0.881	9.5837e-03
X247b	22.679	23.217	0.864	9.5837e-03
X248	27.074	22.679	0.881	2.3260e-03
X248b	22.679	27.074	0.771	2.3260e-03
X249	23.217	24.128	0.986	1.6753e-03
X249b	24.128	23.217	0.864	1.6753e-03
X250	27.074	24.128	0.986	4.8874e-03
X250b	24.128	27.074	0.771	9.7039e-01
X251	23.217	25.107	0.863	9.7925e-01
X251b	25.107	23.217	0.864	9.7925e-01
X252	24.139	27.074	0.771	9.7039e-01
X252b	27.074	24.139	1.024	9.7039e-01
X253	26.080	24.139	1.024	1.6208e-03
X253b	24.139	26.080	0.825	1.6208e-03
X254	22.790	14.668	0.682	5.6810e-03
X254b	14.668	22.790	0.960	2.7719e-03
X255	27.750	14.668	0.682	2.2056e-02
X255b	14.668	27.750	0.830	2.2056e-02
X256	22.798	14.668	0.682	5.6810e-03
X256b	14.668	22.798	0.951	2.7719e-03
X257	22.790	21.031	0.932	9.8876e-01
X257b	21.031	22.790	0.960	9.8876e-01
X258	27.750	21.031	0.932	3.1011e-03
X258b	21.031	27.750	0.830	3.1011e-03
X259	27.750	22.790	0.960	5.7430e-03
X259b	22.790	27.750	0.830	9.7015e-01
X260	22.798	27.750	0.830	9.7015e-01
X260b	27.750	22.798	0.951	5.7430e-03
X261	14.078	27.750	0.830	4.7112e-03
X261b	27.750	14.078	0.735	4.7112e-03
X262	14.078	22.798	0.951	3.4933e-04
X262b	22.798	14.078	0.735	6.9896e-03
X263	26.080	10.068	0.250	1.5492e-03
X263b	10.068	26.080	0.825	1.5492e-03
X264	22.503	10.068	0.250	1.0503e-03
X264b	10.068	22.503	0.833	1.0503e-03
X265	26.080	13.760	0.764	1.6068e-03
X265b	13.760	26.080	0.825	1.6068e-03
X266	22.503	26.080	0.825	9.6414e-01
X266b	26.080	22.503	0.833	9.6414e-01
