label	C1	C2	H2	intensity
X392	23.120	12.760	0.850	1.6971e-03
X393	22.520	18.250	0.770	2.2376e-02
X394	18.250	22.520	0.590	2.2376e-02
X395	19.790	18.250	0.770	7.6116e-03
X396	18.250	19.790	1.360	7.6116e-03
X397	21.090	18.250	0.770	9.5634e-04
X398	18.250	21.090	0.510	9.5634e-04
X399	20.580	18.250	0.770	2.2151e-02
X400	18.250	20.580	0.710	2.2151e-02
X401	21.340	18.250	0.770	9.0201e-02
X402	18.250	21.340	0.560	9.0201e-02
X403	12.760	18.250	0.770	4.9060e-02
X404	18.250	12.760	0.850	4.9060e-02
X405	19.790	22.520	0.590	7.8439e-01
X406	22.520	19.790	1.360	7.8439e-01
X407	24.630	22.520	0.590	1.7847e-03
X408	22.520	24.630	1.010	1.7847e-03
X409	15.030	22.520	0.590	3.5846e-03
X410	22.520	15.030	0.880	3.5846e-03
X411	22.410	22.520	0.590	3.3264e-02
X412	22.520	22.410	1.450	3.3264e-02
X413	20.580	22.520	0.590	1.3832e-02
X414	22.520	20.580	0.710	1.3832e-02
X415	21.340	22.520	0.590	3.7252e-03
X416	22.520	21.340	0.560	3.7252e-03
X417	25.150	19.790	1.360	3.2458e-03
X418	19.790	25.150	0.540	3.2458e-03
X419	24.630	19.790	1.360	2.0263e-02
X420	19.790	24.630	1.010	2.0263e-02
X421	15.030	19.790	1.360	2.1792e-03
X422	19.790	15.030	0.880	2.1792e-03
X423	22.410	19.790	1.360	1.5565e-02
X424	19.790	22.410	1.450	1.5565e-02
X425	20.580	19.790	1.360	3.3162e-03
X426	19.790	20.580	0.710	3.3162e-03
X427	21.340	19.790	1.360	1.1370e-03
X428	19.790	21.340	0.560	1.1370e-03
X429	24.630	25.150	0.540	7.8461e-01
X430	25.150	24.630	1.010	7.8461e-01
X431	15.030	24.630	1.010	7.2156e-04
X432	24.630	15.030	0.880	7.2156e-04
X433	22.410	15.030	0.880	6.4954e-03
X434	15.030	22.410	1.450	6.4954e-03
X435	21.260	22.410	1.450	4.0117e-03
X436	22.410	21.260	0.550	4.0117e-03
X437	26.060	22.410	1.450	8.9481e-04
X438	22.410	26.060	0.690	8.9481e-04
X439	22.930	10.260	0.670	1.3485e-03
X440	10.260	22.930	0.810	1.3485e-03
X441	25.530	10.260	0.670	2.9689e-03
